data,furnas,sao_simao,g_b_munhoz,passo_real,sobradinho,b_esperanca,tucurui,santo_antonio
1969-01-01,687.0,2636.0,435.0,72.0,4237.0,557.0,14944.893827540805,20664.0
1969-01-02,721.0,2462.0,413.0,88.0,4161.0,655.0,15160.34869467278,20917.0
1969-01-03,728.0,2263.0,404.0,83.0,4087.0,675.0,15374.025963798107,20805.0
1969-01-04,681.0,2064.0,404.0,90.0,3963.0,608.0,15585.543217298406,20418.0
1969-01-05,638.0,1846.0,413.0,184.0,3804.0,546.0,15794.564438794177,20042.0
1969-01-06,639.0,1723.0,415.0,405.0,3623.0,519.0,16000.80757517883,19811.0
1969-01-07,642.0,1674.0,469.0,475.0,3426.0,511.0,16204.051450254132,19811.0
1969-01-08,616.0,1657.0,592.0,307.0,3279.0,510.0,16404.141824892453,20042.0
1969-01-09,589.0,1592.0,725.0,188.0,3172.0,515.0,16600.996405276903,20473.0
1969-01-10,587.0,1452.0,786.0,243.0,3105.0,529.0,16794.60861323926,20945.0
1969-01-11,601.0,1485.0,796.0,290.0,3020.0,524.0,16985.04995103929,21429.0
1969-01-12,610.0,1394.0,771.0,210.0,2975.0,495.0,17172.470816941182,21754.0
1969-01-13,616.0,1335.0,699.0,161.0,2889.0,461.0,17357.099657306215,21754.0
1969-01-14,617.0,1322.0,694.0,143.0,2800.0,436.0,17539.24037512515,21590.0
1969-01-15,623.0,1331.0,683.0,169.0,2674.0,421.0,17719.26795328022,21590.0
1969-01-16,640.0,1470.0,645.0,176.0,2542.0,409.0,17897.622292529893,22038.0
1969-01-17,681.0,1564.0,613.0,151.0,2428.0,412.0,18074.800308280777,22839.0
1969-01-18,728.0,1750.0,498.0,121.0,2316.0,427.0,18251.34637557594,23523.0
1969-01-19,759.0,1989.0,393.0,108.0,2255.0,453.0,18427.841257219516,24084.0
1969-01-20,784.0,2171.0,362.0,105.0,2126.0,571.0,18604.8896943545,24251.0
1969-01-21,766.0,2615.0,308.0,100.0,2091.0,708.0,18783.106880863677,24553.0
1969-01-22,813.0,2944.0,293.0,112.0,2050.0,787.0,18963.104081439917,24755.0
1969-01-23,1031.0,2891.0,298.0,116.0,2029.0,903.0,19145.47368687356,24924.0
1969-01-24,1459.0,3064.0,275.0,97.0,2002.0,977.0,19330.774027926032,25162.0
1969-01-25,2181.0,3484.0,283.0,93.0,2051.0,967.0,19519.514290096282,25230.0
1969-01-26,2785.0,3600.0,280.0,97.0,2121.0,908.0,19712.139884794713,25025.0
1969-01-27,3012.0,3360.0,250.0,96.0,2214.0,835.0,19909.01863723826,24890.0
1969-01-28,3060.0,3180.0,244.0,88.0,2291.0,820.0,20110.42814729877,24721.0
1969-01-29,2980.0,3148.0,238.0,84.0,2459.0,841.0,20316.54466631956,24318.0
1969-01-30,2714.0,3097.0,254.0,82.0,2701.0,814.0,20527.4338105421,24284.0
1969-01-31,2313.0,2986.0,279.0,95.0,3052.0,755.0,20743.043400484647,24385.0
1969-02-01,1865.0,2967.0,278.0,118.0,3410.0,637.0,20963.198675854062,24788.0
1969-02-02,1612.0,2826.0,280.0,112.0,3731.0,583.0,21187.60008806758,24890.0
1969-02-03,1450.0,2624.0,269.0,95.0,3979.0,518.0,21415.823818148903,24385.0
1969-02-04,1293.0,2407.0,271.0,79.0,4177.0,468.0,21647.325107801076,23819.0
1969-02-05,1193.0,2170.0,267.0,80.0,4356.0,436.0,21881.444427179744,23391.0
1969-02-06,1141.0,2125.0,267.0,80.0,4506.0,415.0,22117.41643579511,22968.0
1969-02-07,1058.0,2124.0,274.0,108.0,4625.0,400.0,22354.381624670994,22742.0
1969-02-08,963.0,2095.0,301.0,132.0,4713.0,393.0,22591.40046008217,22645.0
1969-02-09,901.0,2097.0,314.0,140.0,4783.0,422.0,22827.469783613822,22774.0
1969-02-10,853.0,2284.0,318.0,118.0,4893.0,647.0,23061.541161661164,23098.0
1969-02-11,792.0,2502.0,314.0,107.0,4732.0,881.0,23292.540821493658,24184.0
1969-02-12,743.0,2675.0,350.0,134.0,4721.0,969.0,23519.390762216608,25400.0
